	SALARY	EDUC	SALBEGIN	GENDER	MINORITY	JOBCAT
0	57000	15	27000	1	0	3
1	40200	16	18750	1	0	1
2	21450	12	12000	0	0	1
3	21900	8	13200	0	0	1
4	45000	15	21000	1	0	1
5	32100	15	13500	1	0	1
6	36000	15	18750	1	0	1
7	21900	12	9750	0	0	1
8	27900	15	12750	0	0	1
9	24000	12	13500	0	0	1
10	30300	16	16500	0	0	1
11	28350	8	12000	1	1	1
12	27750	15	14250	1	1	1
13	35100	15	16800	0	1	1
14	27300	12	13500	1	0	1
15	40800	12	15000	1	0	1
16	46000	15	14250	1	0	1
17	103750	16	27510	1	0	3
18	42300	12	14250	1	0	1
19	26250	12	11550	0	0	1
20	38850	16	15000	0	0	1
21	21750	12	12750	1	1	1
22	24000	15	11100	0	1	1
23	16950	12	9000	0	1	1
24	21150	15	9000	0	1	1
25	31050	15	12600	1	0	1
26	60375	19	27480	1	0	3
27	32550	15	14250	1	0	1
28	135000	19	79980	1	0	3
29	31200	15	14250	1	0	1
30	36150	12	14250	1	0	1
31	110625	19	45000	1	0	3
32	42000	15	15000	1	0	1
33	92000	19	39990	1	0	3
34	81250	17	30000	1	0	3
35	31350	8	11250	0	0	1
36	29100	12	13500	1	1	1
37	31350	15	15000	1	1	1
38	36000	16	15000	1	1	1
39	19200	15	9000	0	1	1
40	23550	12	11550	0	1	1
41	35100	15	16500	1	0	1
42	23250	12	14250	1	0	1
43	29250	8	14250	1	0	1
44	30750	12	13500	1	0	2
45	22350	15	12750	0	0	1
46	30000	12	16500	0	0	1
47	30750	12	14100	1	0	2
48	34800	15	16500	1	0	1
49	60000	16	23730	1	0	3
50	35550	12	15000	1	0	1
51	45150	15	15000	1	0	1
52	73750	18	26250	1	0	3
53	25050	12	13500	1	0	1
54	27000	12	15000	1	0	1
55	26850	15	13500	1	0	1
56	33900	15	15750	1	0	1
57	26400	15	13500	0	0	1
58	28050	15	14250	1	1	1
59	30900	12	15000	1	1	1
60	22500	8	9750	1	1	1
61	48000	16	21750	1	0	3
62	55000	17	26250	1	0	3
63	53125	16	21000	1	0	3
64	21900	8	14550	1	0	1
65	78125	19	30000	1	0	3
66	46000	16	21240	1	0	3
67	45250	16	21480	1	0	3
68	56550	16	25000	1	0	3
69	41100	15	20250	1	0	1
70	82500	17	34980	1	0	3
71	54000	16	18000	0	0	1
72	26400	12	10500	0	0	1
73	33900	15	19500	0	0	1
74	24150	15	11550	0	0	1
75	29250	15	11550	0	0	1
76	27600	12	11400	0	0	1
77	22950	12	10500	0	0	1
78	34800	16	14550	0	0	1
79	51000	16	18000	0	0	1
80	24300	12	10950	0	0	1
